韻,小韻,切韻,王韻,廣韻,切韻校,上字擬音,下字擬音,小韻擬音
陽,孃,女良,女良,女良,女良,nʴɯʌ́,lʴɯɑ̄ɴ,nʴɯɑ̄ɴ
陽,牀,士㽵,士莊,士莊,士㽵,ꭦɯ́,ꭧɯɑ̄ɴ,ꭦɯɑ̄ɴ
陽,㽵,側羊,側羊,側羊,稄陽,ꭧɯ̇k,ʝɯɑ̄ɴ,ꭧɯɑ̄ɴ
陽,常,時羊,時羊,市羊,時陽,ɟɯ̄,ʝɯɑ̄ɴ,ɟɯɑ̄ɴ
陽,霜,所良,所良,色莊,所良,ʂɯʌ́,lʴɯɑ̄ɴ,ʂɯɑ̄ɴ
陽,牆,疾良,疾良,在良,疾良,ʣi̇t,lʴɯɑ̄ɴ,ʣɯɑ̄ɴ
陽,鏘,七將,七將,七羊,七將,ʦʰi̇t,ʦɯɑ̄ɴ,ʦʰɯɑ̄ɴ
陽,匡,去王,去王,去王,去王,kʰɯʌ́,ɦuɑ̄ɴ,kʰuɑ̄ɴ
陽,王,兩方*,雨方,雨方,羽方,ɦuɔ́,puɑ̄ɴ,ɦuɑ̄ɴ
陽,央,於良,於良,於良,於良,ʔɯʌ̄,lʴɯɑ̄ɴ,ʔɯɑ̄ɴ
陽,強,巨良,巨良,巨良,巨良,gɯʌ́,lʴɯɑ̄ɴ,gɯɑ̄ɴ
陽,𦳝,褚羊,諸良,褚羊,楮陽,tʰʴɯʌ́,ʝɯɑ̄ɴ,tʰʴɯɑ̄ɴ
陽,芳,敷方,敷方,敷方,敷方,pʰuɔ̄,puɑ̄ɴ,pʰuɑ̄ɴ
陽,狂,渠王,渠王,巨王,渠王,gɯʌ̄,ɦuɑ̄ɴ,guɑ̄ɴ
唐,唐,徒郎,徒郎,徒郎,徒郎,dɔ̄,lɑ̄ɴ,dɑ̄ɴ
唐,郎,魯當,魯當,魯當,魯當,lɔ́,tɑ̄ɴ,lɑ̄ɴ
唐,當,都郎,都郎,都郎,都郎,tɔ̄,lɑ̄ɴ,tɑ̄ɴ
唐,倉,七崗,七崗,七岡,七剛,ʦʰi̇t,qɑ̄ɴ,ʦʰɑ̄ɴ
唐,剛,古郎,古郎,古郎,古郎,qɔ́,lɑ̄ɴ,qɑ̄ɴ
唐,桑,息郎,息郎,息郎,息郎,sɯ̇k,lɑ̄ɴ,sɑ̄ɴ
唐,康,苦崗,苦岡,苦岡,苦剛,qʰɔ́,qɑ̄ɴ,qʰɑ̄ɴ
唐,荒,呼光,呼光,呼光,呼光,xɔ̄,qʷɑ̄ɴ,xʷɑ̄ɴ
唐,黃,胡光,胡光,胡光,胡光,ʁɔ̄,qʷɑ̄ɴ,ʁʷɑ̄ɴ
唐,光,古皇,古皇,古黃,古黃,qɔ́,ʁʷɑ̄ɴ,qʷɑ̄ɴ
唐,湯,吐郎,吐郎,吐郎,土郎,tʰɔ́,lɑ̄ɴ,tʰɑ̄ɴ
唐,滂,普郎,普郎,普郎,普郎,pʰɔ́,lɑ̄ɴ,pʰɑ̄ɴ
唐,汪,烏光,烏光,烏光,烏光,ʔɔ̄,qʷɑ̄ɴ,ʔʷɑ̄ɴ
唐,鴦,烏郎,烏郎,烏郎,烏郎,ʔɔ̄,lɑ̄ɴ,ʔɑ̄ɴ
唐,炕,呼郎,呼郎,呼郎,呼郎,xɔ̄,lɑ̄ɴ,xɑ̄ɴ
唐,航,胡郎,胡郎,胡郎,胡郎,ʁɔ̄,lɑ̄ɴ,ʁɑ̄ɴ
唐,茫,莫郎,莫郎,莫郎,莫郎,mɑ̇q,lɑ̄ɴ,mɑ̄ɴ
唐,臧,則郎,則郎,則郎,則郎,ʦʌ̇k,lɑ̄ɴ,ʦɑ̄ɴ
唐,囊,奴當,奴當,奴當,奴當,nɔ̄,tɑ̄ɴ,nɑ̄ɴ
唐,傍,步光,步光,步光,捕光,bɔ̀,qʷɑ̄ɴ,bɑ̄ɴ
唐,卬,五崗,五崗,五剛,五剛,ɴɔ́,qɑ̄ɴ,ɴɑ̄ɴ
唐,藏,昨郎,昨郎,昨郎,昨郎,ʣɑ̇q,lɑ̄ɴ,ʣɑ̄ɴ
唐,䯑,苦光,苦光,苦光,苦光,qʰɔ́,qʷɑ̄ɴ,qʰʷɑ̄ɴ
庚,庚,古行,古行,古行,古行,qɔ́,ʁʴāŋ,qʴāŋ
庚,坑,客行,客庚,客庚,客行,qʰʴȧk,ʁʴāŋ,qʰʴāŋ
庚,盲,武庚,武庚,武庚,武庚,muɔ́,qʴāŋ,mʴāŋ
庚,橫,胡盲,胡盲,戶盲,胡盲,ʁɔ̄,mʴāŋ,ʁʷʴāŋ
庚,閍,甫盲,甫盲,甫盲,甫盲,puɔ́,mʴāŋ,pʴāŋ
庚,諻,虎橫,虎橫,虎橫,虎橫,xɔ́,ʁʷʴāŋ,xʷʴāŋ
庚,觥,古橫,古橫,古橫,古橫,qɔ́,ʁʷʴāŋ,qʷʴāŋ
庚,彭,薄庚,薄庚,薄庚,泊庚,bɑ̇q,qʴāŋ,bʴāŋ
庚,脝,許庚,許庚,許庚,許庚,xɯʌ́,qʴāŋ,xʴāŋ
庚,瞠,丑庚,丑庚,丑庚,丑庚,tʰʴú,qʴāŋ,tʰʴāŋ
庚,鎗,楚庚,楚庚,楚庚,楚庚,ꭧʰɯʌ́,qʴāŋ,ꭧʰāŋ
庚,傖,助庚,助庚,助庚,助庚,ꭦɯʌ̀,qʴāŋ,ꭦāŋ
庚,霙,於驚,於京,於驚,於驚,ʔɯʌ̄,kʴiāŋ,ʔʴiāŋ
庚,磅,蕪庚,撫庚,撫庚,無庚,muɔ̄,qʴāŋ,pʰʴāŋ
庚,平,符兵,蒲兵,符兵,扶兵,buɔ̄,pʴiāŋ,bʴiāŋ
庚,驚,九𡖖,舉𡖖,舉卿,久𡖖,kú,kʰʴiāŋ,kʴiāŋ
庚,明,武兵,武兵,武兵,武兵,muɔ́,pʴiāŋ,mʴiāŋ
庚,棖,直庚,直庚,直庚,直庚,dʴɯ̇k,qʴāŋ,dʴāŋ
庚,趟,竹盲,竹盲,竹盲,竹盲,tʴu̇q,mʴāŋ,tʴāŋ
庚,榮,……,永兵,永兵,永兵,ɦʴyáŋ,pʴiāŋ,ɦʴyāŋ
庚,兵,甫榮,補榮,甫明,甫榮,puɔ́,ɦʴyāŋ,pʴiāŋ
庚,兄,許榮,許榮,許榮,許榮,xɯʌ́,ɦʴyāŋ,xʴyāŋ
庚,𡖖,去亰,去京,去京,去驚,kʰɯʌ́,kʴiāŋ,kʰʴiāŋ
庚,生,所亰,所京,所庚,所驚,ʂɯʌ́,kʴiāŋ,ʂiāŋ
庚,擎,渠…,渠京,渠京,渠驚,gɯʌ̄,kʴiāŋ,gʴiāŋ
庚,迎,語亰,語京,語京,語驚,ŋɯʌ́,kʴiāŋ,ŋʴiāŋ
