字	韻
㲏	滂・豪平
㲓	書惟魚去
㲔	心伊先平
㲕	來區泰去
㲕	來惟先入
㲖	心・蕭平
㲗	滂威魚平
㲚	生娃麻平
㲝	明・豪去
㲞	心區痕入
㲟	影漪清上
㲡	泥・泰去
㲢	並・仙上
㲥	定・唐平
㲦	匣・寒去
㲪	端・登平
㲫	並・東入
㲬	精伊宵平
㲰	孃娃庚平
㲱	來伊鹽入
㲲	定・添入
㲳	知漪真入
㲺	精伊真入
㲼	疑依廢去
㲽	泥・仙去
㲽	書伊陽平
㳀	見區歌去
㳁	莊漪蒸入
㳂	以惟先平
㳄	邪伊先平
㳅	來依尤平
㳐	崇娃刪入
㳗	初娃佳去
㳘	昌惟東平
㳙	見區仙平
㳛	以伊尤平
㳛	以惟魚平
㳥	來・東去
㳦	匣娃皆去
㳧	昌伊鹽入
㳨	精・寒入
㳬	邪惟先平
㳬	邪惟先去
㳶	泥・侯上
㳹	影區唐上
㳻	生娃耕入
㳻	清・模去
㳻	莊娃庚入
㴂	透・談平
㴄	影蛙庚上
㴐	明・仙去
㴒	以伊清入
㴥	清伊宵去
㴦	見威東平
㴧	心依蒸入
㴫	見區痕去
㴬	邪伊麻去
㴯	章伊脂平
㴲	心伊支平
㴴	澄娃咸上
㴸	書伊鹽上
㴽	心・仙入
㵂	書伊魚去
㵅	透・覃平
㵋	明娃佳上
㵋	明・青入
㵎	見娃刪去
㵐	谿威元入
㵑	匣・歌去
㵒	並威微去
㵗	並漪蒸平
㵝	以伊祭去
㵞	崇漪尤平
㵟	明威微平
㵟	明漪脂平
㵣	谿・寒入
㵧	見・寒入
㵨	滂伊支去
㵩	以伊祭去
㵫	孃漪侵入
㵺	滂娃佳去
㵻	曉依尤平
㵽	來區咍上
㵾	從伊清去
㵾	初漪清去
㵿	匣・蕭上
㶀	見娃肴平
㶁	見蛙庚入
㶄	以伊鹽平
㶆	章伊魚平
㶇	匣蛙庚平
㶇	匣蛙庚去
㶌	來伊先平
㶏	影依文平
㶏	影依文去
㶏	影依文上
㶒	書伊談上
㶒	透・覃去
㶔	並娃皆去
㶕	見娃山上
㶖	書惟東入
㶗	並威元去
