字	韻
鏔	以伊之平
鏕	來・東入
鏖	影・豪平
鏗	谿娃耕平
鏘	清依陽平
鏚	清・青入
鏜	透・唐平
鏝	明・寒平
鏝	明・寒去
鏞	以惟冬平
鏟	初娃刪去
鏟	初娃山上
鏡	見漪清去
鏢	滂伊宵平
鏤	來・侯去
鏤	來威魚平
鏦	清威冬平
鏦	初娃江平
鏨	從・談平
鏨	從・談去
鏨	從・談上
鏨	從伊鹽上
鏨	崇娃咸平
鏰	幫・登去
鏳	崇娃耕平
鏵	匣蛙麻平
鏶	從伊侵入
鏶	清伊鹽入
鏷	並・冬入
鏸	匣區齊去
鏹	見依陽上
鏺	滂・寒入
鏻	來・青平
鏻	來伊真平
鏻	來伊真去
鏽	心依尤去
鏾	心・寒上
鐁	心伊脂平
鐁	心伊支平
鐃	孃娃肴平
鐄	匣蛙庚平
鐅	滂・仙入
鐆	邪惟脂去
鐇	並威元平
鐇	幫威元平
鐈	羣漪宵平
鐉	清惟先平
鐋	透・唐去
鐍	見區仙入
鐎	從伊宵平
鐎	精伊宵平
鐏	從區痕去
鐐	來・蕭平
鐐	來・蕭去
鐒	來・豪平
鐓	定區咍去
鐔	定・覃平
鐔	以伊侵平
鐔	邪伊侵平
鐕	精・覃平
鐖	見依微平
鐗	見娃刪去
鐘	章惟冬平
鐙	端・登去
鐠	滂・模上
鐧	見娃刪去
鐨	滂威微去
鐩	邪惟脂去
鐪	來・模上
鐫	精惟先平
鐬	曉區泰去
鐮	來伊鹽平
鐯	知漪陽入
鐰	從・豪平
鐰	清伊宵平
鐲	常惟冬入
鐲	澄娃江入
鐳	來區咍平
鐴	幫伊清入
鐵	透・仙入
鐶	匣蛙刪平
鐸	定・唐入
鐹	見區歌去
鐹	見區歌上
鐺	端・唐平
鐺	初娃庚平
鐻	羣依魚平
鐻	羣依魚上
鐻	見依魚去
鐼	並威文平
鐼	曉威文去
鐽	定・寒入
鐾	並・齊去
鐾	並伊支去
鐿	影依之去
鑄	章惟魚去
鑈	泥・齊上
鑈	泥・添入
鑊	匣區唐入
鑋	谿・青去
鑋	谿伊清平
鑌	幫伊真平
鑏	孃娃耕平
鑐	心威魚平
鑑	見娃銜平
鑑	見娃銜去
鑒	見娃銜去
鑒	見・仙平
鑔	初娃山入
鑕	章伊真入
鑗	來伊脂平
鑘	來區咍平
鑘	來區咍上
鑚	精區寒平
鑚	精區寒去
鑛	見蛙庚上
鑞	來・談入
鑠	書伊陽入
鑢	來依魚去
鑣	幫漪宵平
鑥	來・模上
鑩	疑・唐入
鑪	來・模平
鑫	曉漪侵平
鑭	來・寒去
鑮	並・唐入
鑮	幫・唐入
鑯	精伊鹽平
鑰	以伊陽入
鑱	崇娃銜平
鑱	崇娃銜去
鑲	日伊陽平
鑲	孃漪陽平
鑲	心依陽平
鑳	羣漪先上
鑴	匣區齊平
鑴	曉惟支平
鑵	見區寒去
鑷	孃漪鹽入
鑹	清區寒去
鑺	羣威魚平
鑼	來・歌平
鑽	精區寒平
鑽	精區寒去
鑾	來區寒平
鑿	從・唐入
鑿	從・東入
鑿	精・唐入
鑿	清・豪去
钀	疑漪先入
钀	疑依元入
钁	見威陽入
钃	知逶冬入
锸	徹漪鹽入
镟	邪惟先去
長	澄漪陽平
長	澄漪陽去
長	知漪陽上
镺	影・豪去
镺	影・豪上
镻	定・仙入
镽	來・蕭上
镾	明伊支平
門	明區痕平
閂	生蛙刪平
閃	書伊鹽去
閃	書伊鹽上
閆	以伊鹽平
閇	幫・齊去
閈	匣・寒去
閉	幫・齊去
閉	幫・仙入
開	谿・咍平
閌	谿・唐去
閍	幫娃庚平
閎	匣蛙耕平
閏	日惟真去
閐	心・覃去
閑	匣娃山平
閒	匣娃山平
閒	見娃山平
閒	見娃山去
間	見娃山去
閔	明漪真上
閘	見・談入
閘	影娃銜入
閙	孃娃肴去
閛	滂娃耕平
閜	曉娃麻上
閝	來・青平
閞	並威元去
閞	並漪先去
閟	幫漪脂去
閠	日惟真去
閡	疑・咍去
関	見蛙刪平
閣	見・唐入
閤	見・覃入
閥	並威元入
閧	匣娃江去
閧	匣・東去
閨	見區齊平
閩	明威文平
閩	明漪真平
閪	曉・齊平
閫	谿區痕上
閬	來・唐平
閬	來・唐去
閭	來依魚平
閰	見威東入
閱	以惟先入
閵	來伊真去
閶	昌伊陽平
閷	生娃皆去
閹	影漪鹽平
閹	影漪鹽上
閻	以伊鹽平
閼	影・寒入
閼	影・仙平
閼	影漪先平
閼	影依元入
閽	曉區痕平
閾	曉逶蒸入
閿	明威文平
闃	谿區青入
闄	影伊宵上
闅	明伊真平
闅	明威文平
闅	明漪真平
闆	幫娃刪上
闇	影・覃去
闈	云威微平
闉	影伊真平
闊	谿區寒入
闋	谿區仙入
闌	來・寒平
闍	常伊麻平
闍	端・模平
闐	定・仙平
闐	定・仙去
闑	疑・仙入
闑	疑漪先入
闒	定・談入
闓	谿・咍去
闓	谿・咍上
闔	匣・談入
闕	谿威元入
闖	徹漪侵去
闖	初漪陽上
闘	端・侯去
闙	谿・齊上
闚	谿惟支平
闛	定・唐平
闛	透・唐平
關	見蛙刪平
闞	曉娃銜去
闞	曉娃咸上
闞	谿・談去
闟	曉漪侵入
闠	匣區咍去
闡	昌伊先上
闢	並伊清入
闣	端・唐去
闤	匣蛙刪平
闥	透・寒入
阜	並依尤上
阝	並依尤上
阞	來・登入
阠	心伊真去
阠	書伊真去
阠	生漪真平
阡	清・仙平
阢	疑區咍平
阢	疑區痕入
阤	澄漪支上
阤	書伊支上
阧	端・侯上
阨	影娃耕入
阪	並娃刪上
阪	幫威元上
阬	谿娃庚平
阬	谿・唐去
阮	疑威元平
阮	疑威元上
阯	章伊之上
阰	並伊脂平
阱	從伊清上
防	並威陽平
防	並威陽去
阸	影娃佳去
阸	影娃耕入
阹	谿依魚平
阺	澄漪脂平
阻	莊漪魚去
阻	莊漪魚上
阼	從・模去
阽	以伊鹽平
阾	來・青平
阾	來伊清上
阿	影・歌平
陀	定・歌平
陂	幫漪支平
陂	幫漪支去
附	並威魚去
陊	定・歌上
陊	澄漪支上
陋	來・侯去
陌	明娃庚入
降	匣娃江平
降	見娃江去
陎	常惟魚平
限	匣娃山上
陑	日伊之平
陒	見逶支上
陓	影威魚平
陔	見・咍平
陖	心惟真去
陗	清伊宵去
陘	匣・青平
陙	常惟真平
陚	幫威魚去
陛	並・齊上
陜	匣娃咸入
陝	書伊鹽上
陞	書伊蒸平
陟	知漪蒸入
陠	滂・模平
陠	幫・模平
陡	端・侯上
院	匣區寒平
院	云逶先去
陣	澄漪真去
除	澄漪魚平
除	澄漪魚去
陪	並區咍平
陫	並威微上
陬	精・侯平
陬	莊漪尤平
陬	精威魚平
陭	影漪支平
陭	影漪支去
陮	定區咍上
陯	來惟真平
陰	影漪侵平
陲	常惟支平
陳	澄漪真平
陳	澄漪真去
陴	並伊支平
陵	來依蒸平
陶	定・豪平
陶	以伊宵平
陷	匣娃咸去
陸	來威東入
陻	影伊真平
陼	章伊魚上
陽	以伊陽平
陾	日伊之平
陾	泥・侯上
陿	匣娃咸入
隂	影漪侵平
隃	以惟魚平
隃	書惟魚平
隃	書惟魚去
隃	心威魚平
隄	定・齊平
隄	端・齊平
隅	疑威魚平
隆	來威東平
隇	影威微平
隈	影區咍平
隈	影區咍去
隉	疑・仙入
隊	定區咍去
隋	透區歌上
隋	邪惟支平
隌	影・覃上
隌	影漪侵平
隍	匣區唐平
階	見娃皆平
隑	疑・咍平
隒	疑漪鹽上
隓	曉惟支平
隔	見娃耕入
隕	云逶真上
隖	影・模上
隗	疑區咍上
隘	影娃佳去
隙	谿漪清入
隚	定・唐平
際	精伊祭去
障	章伊陽平
障	章伊陽去
隝	端・蕭上
隤	定區咍平
隥	端・登去
隧	邪惟脂去
隨	邪惟支平
隩	影・豪去
隩	影威東入
險	曉漪鹽上
隮	精・齊平
隮	精・齊去
隰	邪伊侵入
隱	影依文去
隱	影依文上
隳	曉惟支平
隴	來威冬上
隵	曉漪支平
隶	定・咍去
隶	以伊脂去
隷	來・齊去
隸	來・齊去
隹	章惟脂平
隺	匣・冬入
隻	章伊清入
隼	心惟真上
隽	從惟先上
隿	以伊蒸入
雀	精依陽入
雁	疑娃刪去
雂	羣漪鹽平
雂	羣漪侵平
雃	谿・仙平
雃	疑・寒平
雄	云威東平
雅	疑娃麻上
集	從伊侵入
雇	匣・模上
雇	見・模去
雉	澄漪脂上
雊	見・侯去
雋	從惟先上
雌	清伊支平
雍	影威冬平
雍	影威冬去
雎	清依魚平
雐	曉・模平
雒	來・唐入
雓	以伊魚平
雔	常伊尤平
雕	端・蕭平
雖	心惟脂平
雗	匣・寒去
雘	影區唐入
雙	生娃江平
雚	匣區寒平
雚	見區寒去
雛	崇逶魚平
雜	從・覃入
雝	影威冬平
雞	見・齊平
雟	匣區齊平
離	來・齊去
離	來伊支平
離	來伊支去
難	泥・寒平
難	泥・寒去
雥	從・覃入
雨	云威魚去
雨	云威魚上
雩	曉威魚平
雩	云威魚平
雪	心惟先入
雭	生漪侵入
雯	明威文平
雰	滂威文平
雱	滂・唐平
雲	云威文平
雴	徹漪侵入
零	來・仙平
零	來・青平
零	來・青去
雷	來區咍平
雹	並娃江入
雺	明・冬去
雺	明・侯去
雺	明・東平
雺	明依尤平
電	定・仙去
需	心威魚平
霂	明・東入
霃	澄漪侵平
霄	心伊宵平
霅	澄娃銜入
霅	匣娃銜入
霅	心・覃入
霅	章伊鹽入
霆	定・青平
霆	定・青上
震	章伊真去
霈	滂・泰去
霉	明區咍平
霋	清・齊平
霍	曉區唐入
霎	生娃咸入
霎	生漪鹽入
霏	滂威微平
霑	知漪鹽平
霓	疑・齊平
霓	疑・齊去
霓	疑・仙入
霔	章惟魚去
霖	來伊侵平
霙	影漪清平
霙	影依陽平
霚	明・東平
霚	明威魚去
霛	來・青平
霜	生漪陽平
霝	來・青平
霞	匣娃麻平
霠	影漪侵平
霢	明娃耕入
霣	云逶真上
霤	來依尤去
霥	明・東平
霦	幫漪真平
霧	明威魚去
霩	曉區唐入
霪	以伊侵平
霫	心伊侵入
霫	邪伊侵入
霰	心・仙去
霱	以惟真入
露	來・模去
霳	來威東平
霵	崇漪侵入
霵	莊漪侵入
霶	滂・唐平
霸	幫娃麻去
霹	滂・青入
霼	曉依微去
霼	曉依微上
霽	精・齊去
霾	明娃皆平
霿	明・東平
霿	明・東去
靀	明・東平
靁	來區咍平
靂	來・青入
靃	曉區唐入
靃	心惟支上
靄	影・泰去
靄	影・寒入
靅	滂威微去
靆	定・咍去
靈	來・青平
靉	影・咍去
靉	影依微上
靐	並漪蒸去
靑	清・青平
青	清・青平
靖	從伊清上
靗	徹漪清去
靘	清・青平
靘	清・青去
靚	從伊清去
靛	定・仙去
靜	從伊清上
非	幫威微平
靠	谿・豪去
靡	明漪支上
面	明伊先去
靤	並娃肴去
靦	透・仙上
靧	曉區咍去
靨	影伊鹽入
革	見娃耕入
靪	端・青平
靪	端・青上
靫	初娃麻平
靫	初娃佳平
靬	見娃山平
靬	谿・寒平
靬	谿・寒去
靬	見依元平
靮	端・青入
靯	定・模上
靲	羣漪侵平
靳	見依文去
靴	曉威歌平
靶	幫娃麻去
靷	以伊真去
靷	以伊真上
靸	心・談入
靸	心・覃入
靺	明・寒入
靻	精・模上
靼	端・寒入
靼	章伊先入
靽	幫・寒去
靾	以伊祭去
靿	影娃肴去
鞀	定・豪平
鞁	並漪支去
鞂	見娃山入
鞃	匣區登平
鞄	並娃肴平
鞄	並娃肴去
鞄	並娃肴上
鞄	滂娃江入
鞅	影依陽上
鞇	影伊真平
鞈	見娃咸入
鞈	見・覃入
鞉	定・豪平
鞋	匣娃佳平
鞋	匣娃皆平
鞌	影・寒平
鞍	影・寒平
鞎	匣・痕平
鞏	見威冬上
鞓	透・青平
鞔	明・寒平
鞕	疑娃耕去
鞘	心伊宵去
鞘	生娃肴平
鞙	匣區仙上
鞙	見區仙平
鞚	谿・東去
鞜	透・覃入
鞞	並・齊平
鞞	幫・青上
鞞	幫伊支平
鞞	幫伊支上
鞟	谿區唐入
鞠	羣威東入
鞠	谿威東入
鞠	見威東入
鞢	澄娃銜入
鞢	心・添入
鞣	日伊尤平
鞣	日伊尤去
鞤	幫・唐平
鞥	影・覃入
鞦	清依尤平
鞧	清依尤平
鞨	匣・寒入
鞨	船伊先入
鞪	明・東入
鞪	明依尤平
鞫	見威東入
鞬	見依元平
鞭	幫伊先平
鞮	端・齊平
鞲	見・侯平
鞳	透・談入
鞴	並・模去
鞴	並威東入
鞴	並漪脂去
鞵	匣娃佳平
鞶	並・寒平
鞹	谿區唐入
鞻	來・侯平
鞼	羣逶脂去
鞼	見區咍平
鞽	谿漪宵平
鞾	曉威歌平
鞿	見依微平
韁	見依陽平
韂	昌伊鹽去
韃	透・寒入
韄	匣・模去
韅	曉・仙去
韅	曉・仙上
韆	清伊先平
韇	定・東入
韈	明威元入
韉	精・仙平
韋	云威微平
韌	日伊真去
韍	並漪脂去
韍	幫威文入
韎	明・寒入
韎	明娃皆去
韏	羣逶先去
韏	谿威元去
韏	見逶先上
韐	見娃咸入
韐	見・覃入
韒	心伊宵去
韓	匣・寒平
韔	徹漪陽去
韖	日伊尤上
韗	曉威元去
韗	云威文去
韘	心・添入
韘	書伊鹽入
韙	云威微上
韛	並娃皆去
韜	透・豪平
韜	透・豪去
韝	並娃皆去
韝	谿・侯平
韝	見・侯平
韞	影區痕平
韞	影威文上
韠	幫伊真入
韡	云威微上
韢	清惟祭去
韣	常惟冬入
韣	定・東入
韣	章惟冬入
韤	明威元入
韭	見依尤上
韰	匣娃皆去
韱	心伊鹽平
音	影漪侵平
韴	從・覃入
韵	云威文去
韶	常伊宵平
韸	並・東平
韹	匣蛙庚平
韹	匣區唐平
韺	影漪清平
韻	云威文去
韽	影娃咸去
韽	影・覃平
韾	影伊侵平
響	曉依陽上
頀	匣・模去
頁	匣・仙入
頂	端・青上
頃	谿惟清平
頃	谿惟清上
頄	羣依尤平
頄	羣逶脂平
頄	見逶脂平
項	匣娃江上
順	船惟真去
頇	曉・寒平
頇	疑・寒去
頇	疑・寒入
須	心威魚平
頊	曉威冬入
頊	疑威冬入
頋	見・模去
頌	以惟冬平
頌	邪威冬去
頍	谿惟支上
頍	見逶脂去
頎	羣依微平
頏	匣・唐平
頏	谿・唐去
預	以伊魚去
頑	疑蛙刪平
頒	並威文平
頒	幫娃刪平
頓	端區痕去
頔	定・青入
頔	谿惟清上
頕	端・談平
頖	滂・寒去
頗	滂・歌平
頗	滂・歌去
頗	滂・歌上
領	來伊清上
頛	來區咍上
頜	匣・覃上
頜	見・覃入
頝	谿娃肴平
頞	影・寒入
頟	疑娃庚入
頠	疑區咍上
頠	疑逶支上
頡	匣・仙入
頡	見娃山入
頢	匣蛙刪入
頢	見區寒入
頣	書伊真上
頤	以伊之平
頦	匣・咍平
頦	見・咍上
頧	端區咍平
頧	端區咍上
頨	曉惟先平
頨	云威魚上
頩	滂・青平
頩	滂・青上
頪	來區泰去
頫	幫威魚上
頫	透・蕭去
頭	定・侯平
頮	曉區咍去
頯	羣逶脂平
頯	見逶脂上
頰	見・添入
頲	透・青上
頵	見逶真平
頵	影逶真平
頶	匣・冬入
頷	匣・覃平
頷	匣・覃上
頸	羣伊清平
頸	見・青平
頸	見伊清上
頹	定區咍平
頻	並伊真平
頽	定區咍平
頾	精伊支平
頿	精伊支平
顀	澄逶脂平
顁	端・青去
顄	匣・覃平
顄	匣・覃上
顅	谿娃山平
顆	谿區歌上
顇	從惟脂去
顈	匣・仙上
顈	谿區青上
顉	谿漪侵平
顉	谿漪侵上
顉	疑・覃上
顋	心・咍平
題	定・齊平
題	定・齊去
額	疑娃庚入
顎	疑・唐入
顏	疑娃刪平
顐	匣區痕平
顐	疑區痕平
顐	疑區痕去
顑	谿・覃上
顑	疑娃咸去
顒	疑威冬平
顓	章惟先平
顔	疑娃刪平
顖	心伊真去
顗	疑依微上
願	疑威元去
顙	心・唐上
顚	端・仙平
顚	透・仙去
顛	端・仙平
顛	透・仙去
顝	谿區咍平
顝	谿區咍上
顝	谿區痕入
類	來惟脂去
顟	來娃肴平
顠	並伊宵上
顠	滂伊宵上
顡	疑區咍上
顡	疑依微去
顢	明・寒平
顣	精威東入
顤	曉娃肴平
顤	疑・蕭平
顤	疑・蕭去
顥	匣・豪上
顦	從伊宵平
顧	見・模去
顩	澄漪侵上
顩	疑漪鹽上
顪	曉威廢去
顫	章伊先去
顬	日惟魚平
顮	幫伊真平
顯	曉・仙上
顰	並伊真平
顱	來・模平
顲	來伊侵上
顲	來・覃去
顲	來・覃上
顳	日伊鹽入
顴	羣逶先平
風	幫威東平
風	幫威東去
颫	並威魚平
颬	曉娃麻平
颭	章伊鹽上
颮	並娃肴平
颮	滂娃江入
颮	幫伊宵平
颯	心・覃入
颰	並・寒入
颰	幫威元入
颱	定・咍平
颲	來伊先入
颳	見蛙刪入
颵	生娃肴平
颶	羣威魚去
颸	初漪之平
颺	以伊陽平
颺	以伊陽去
颻	以伊宵平
颼	生漪尤平
颽	谿・咍上
颾	心・豪平
颿	並威嚴平
颿	並威嚴去
飀	來依尤平
飁	邪伊侵入
飂	來依尤平
飂	來依尤去
飄	並伊宵平
飄	滂伊宵平
飆	幫伊宵平
飉	來・蕭平
飊	幫伊宵平
飋	生漪真入
飌	幫威東平
飍	曉伊幽平
飛	幫威微平
飜	滂威元平
食	以伊之去
食	船伊蒸入
食	邪依之去
飡	清・寒平
飢	見漪脂平
飣	端・青去
飤	邪依之去
飥	透・唐入
飧	心區痕平
飩	定區痕平
飪	日伊侵上
飫	影依魚去
飬	谿逶先去
飬	見逶先去
飭	徹漪蒸入
飯	並威元去
飯	並威元上
飰	並威元去
飲	影漪侵去
飲	影漪侵上
飳	透・侯上
飴	以伊之平
飵	從・唐入
飵	從・模去
飶	並・仙入
飶	並伊真入
飷	精伊麻上
飺	從伊支平
飻	透・仙入
飼	邪依之去
飽	幫娃肴上
飾	書伊蒸入
餀	曉・泰去
餁	日伊侵上
餂	透・添上
餃	見娃肴上
餄	見娃咸入
餅	幫伊清上
餆	以伊宵平
餈	從伊脂平
餉	書伊陽去
養	以伊陽去
養	以伊陽上
餌	日伊之去
餎	來・唐入
餐	清・寒平
餑	並區痕入
餒	泥區咍上
餓	疑・歌去
餔	並・模去
餔	幫・模平
餕	精惟真去
餖	定・侯去
餗	心・東入
餘	以伊魚平
餚	匣娃肴平
餛	匣區痕平
餜	見區歌上
餞	從伊先去
餞	從伊先上
餟	知逶祭去
餟	知逶先入
餡	匣娃咸去
餡	匣娃咸上
餣	影依嚴入
餤	定・談平
餥	幫威微平
餥	幫威微上
餦	知漪陽平
餧	泥區咍上
餧	影逶支去
館	見區寒去
餩	影・登入
餪	泥區寒上
餫	匣區痕平
餫	云威文去
餬	匣・模平
餭	匣區唐平
餮	透・仙入
餯	曉威廢去
餱	匣・侯平
餲	匣・寒入
餲	影娃夬去
餲	影・寒入
餲	影漪祭去
餳	定・唐平
餳	邪伊清平
餴	幫威文平
餵	影威微去
餷	初娃麻平
餹	定・唐平
餺	幫・唐入
餻	見・豪平
餼	曉依微去
餽	羣逶脂去
餽	見逶脂去
餾	來依尤平
餾	來依尤去
餿	生漪尤平
饁	云漪鹽入
饃	明・模平
饅	明・寒平
饆	幫伊真入
饇	影威魚去
饈	心依尤平
饉	羣漪真去
饊	心・寒上
饋	羣逶脂去
饌	崇逶先去
饌	崇蛙刪上
饍	常伊先去
饎	昌伊之去
饐	影漪脂去
饑	見依微平
饒	日伊宵平
饒	日伊宵去
饔	影威冬平
饕	透・豪平
饖	影威廢去
饗	曉依陽上
饘	章伊先平
饘	章伊先上
饙	幫威文平
饛	明・東平
饜	影伊鹽平
饜	影伊鹽去
饞	崇娃咸平
饟	書伊陽平
饟	書伊陽去
饟	書伊陽上
饠	來・歌平
饡	精・寒去
饢	泥・唐平
饣	船伊蒸入
首	書伊尤去
首	書伊尤上
馗	羣依尤平
馗	羣逶脂平
馘	見蛙耕入
馘	見區登入
香	曉依陽平
馚	並威文平
馛	並・寒入
馝	並・仙入
馝	並伊真入
馞	並區痕入
馞	滂區痕入
馠	曉・覃平
馡	幫威微平
馣	影・覃平
馤	影・泰去
馥	並威東入
馥	並漪蒸入
馦	曉・添平
馧	影區痕入
馧	影威文平
馨	曉・青平
馩	並威文平
馬	明娃麻上
馭	疑依魚去
馮	並威東平
馮	並漪蒸平
馯	匣・寒去
馯	谿娃刪平
馰	端・青入
馱	定・歌平
馱	定・歌去
馲	來・唐入
馲	透・唐入
馲	知娃庚入
馳	澄漪支平
馴	邪惟真平
馵	章惟魚去
馶	羣伊支平
馶	見伊支去
馶	書伊支去
馶	章伊支平
馹	日伊真入
馺	心・覃入
馻	以惟先上
馻	以惟真上
馼	明威文平
馾	端・覃去
駁	幫娃江入
駂	幫・豪上
駃	谿蛙夬去
駃	見區仙入
駄	定・歌去
駉	見區青平
駊	幫・歌上
駊	滂・歌上
駎	澄漪尤去
駏	羣依魚上
駐	知逶魚去
駑	泥・模平
駒	見威魚平
駓	滂漪脂平
駔	從・模上
駔	精・唐上
駕	見娃麻去
駖	來・青平
駗	來伊真平
駗	章伊真上
駘	定・咍平
駘	定・咍上
駙	並威魚去
駚	影・唐上
駚	影依陽上
駛	生漪之去
駛	生漪之上
駜	並伊真入
駜	並漪真入
駝	定・歌平
駞	定・歌平
駟	心伊脂去
駡	明娃麻去
駡	明娃麻上
駢	並・仙平
駣	定・豪平
駣	定・豪上
駣	澄漪宵上
駤	知漪脂去
駥	日惟東平
駧	定・東去
駩	清惟先平
駪	生漪真平
駫	見區青平
駬	日伊之上
駭	匣娃皆上
駮	幫娃江入
駰	影伊真平
駰	影漪真平
駱	來・唐入
駴	匣娃皆上
駵	來依尤平
駶	羣威冬入
駷	心・侯上
駷	心威冬上
駸	清伊侵平
駸	初漪侵平
駹	明娃江平
駺	來・唐平
駻	匣・寒去
駼	定・模平
駽	曉區仙平
駽	曉區仙去
駾	透區泰去
駿	精惟真去
騀	疑・歌上
騁	徹漪清上
騂	心惟清平
騃	疑娃皆上
騃	俟漪之上
騄	來威冬入
騅	章惟脂平
騇	書伊麻去
騇	書伊麻上
騉	見區痕平
騊	定・豪平
騋	來・咍平
騍	谿區歌去
騍	見區歌去
騎	羣漪支平
騎	羣漪支去
騏	羣依之平
騑	滂威微平
騑	幫威微平
騕	影・蕭上
騖	明威魚去
騗	滂伊先去
騘	清・東平
騙	滂伊先去
騚	從・仙平
騛	幫威微平
騜	匣區唐平
騝	羣漪先平
騝	見依元平
騟	以惟魚平
騠	定・齊平
騢	匣娃麻平
騣	精・東平
騤	羣逶脂平
騤	見區仙入
騥	日伊尤平
騧	見蛙麻平
騧	見蛙佳平
騩	見逶脂平
騩	見逶脂去
騩	見威微平
騪	生漪尤平
騫	谿漪先平
騬	船伊蒸平
騭	章伊真入
騮	來依尤平
騯	並娃庚平
騯	並・唐平
騯	幫娃庚平
騰	定・登平
騱	匣・齊平
騲	清・豪上
騴	影娃刪去
騵	疑威元平
騶	莊漪尤平
騷	心・豪平
騸	書伊先去
騺	知漪脂去
騻	生漪陽平
騼	來・東入
騽	云漪侵入
騽	邪伊侵入
騾	來區歌平
驀	明娃庚入
驁	疑・豪平
驁	疑・豪去
驂	清・覃平
驃	並伊宵去
驄	清・東平
驅	谿威魚平
驅	谿威魚去
驈	以惟真入
驈	船惟真入
驉	曉依魚平
驊	匣蛙麻平
驋	幫・寒入
驌	心威東入
驍	見・蕭平
驎	來伊真平
驏	崇娃刪上
驐	端區痕平
驒	定・歌平
驒	定・寒平
驒	端・仙平
驓	從依蒸平
驔	定・添上
驕	見漪宵平
驖	定・仙入
驖	透・仙入
驗	疑漪鹽去
驘	來區歌平
驙	定・寒平
驙	知漪先平
驚	見漪清平
驛	以伊清入
驜	疑依嚴入
驟	崇漪尤去
驠	影・仙平
驠	影・仙去
驡	來威冬平
驡	精・唐上
驢	來依魚平
驤	心依陽平
驥	見漪脂去
驦	生漪陽平
驧	羣威東入
驨	匣區齊平
驩	曉區寒平
驪	來・齊平
驪	來伊支平
驫	幫伊宵平
驫	幫漪幽平
骨	見區痕入
骫	影逶支上
骬	云威魚平
骭	匣娃刪去
骭	見・寒去
骯	匣・唐上
骯	谿・唐上
骰	定・侯平
骱	匣・寒入
骱	見娃山入
骲	並娃肴去
骲	並娃肴上
骲	並娃江入
骲	滂・東入
骳	明漪支上
骴	從伊支平
骴	從伊支去
骶	端・齊去
骷	谿・模平
骸	匣娃皆平
骹	谿娃肴平
骹	谿・寒入
骺	匣・侯平
骻	谿蛙麻上
骼	見娃庚入
骽	透區咍上
骾	見娃庚上
骿	並・仙平
髀	並・齊上
髀	幫伊支上
髀	幫伊脂上
髁	谿區歌平
髁	谿蛙麻上
髁	谿區歌去
髂	谿娃麻去
髃	疑・侯上
髃	疑威魚平
髆	幫・唐入
髇	曉娃肴平
髈	並・唐平
髈	滂・唐上
髉	幫娃江入
髊	從伊支去
髎	來・蕭平
髎	來伊宵平
髏	來・侯平
髑	定・東入
髒	精・唐上
髓	心惟支上
體	透・齊上
髕	並伊真上
髖	谿區痕平
髖	谿區寒平
髗	來・模平
高	見・豪平
髙	見・豪平
髝	來・豪平
髝	來・豪去
髞	心・豪去
髟	幫伊宵平
髟	幫漪幽平
髟	生娃銜平
髡	谿區痕平
髢	定・齊去
髣	滂威陽上
髤	曉依尤平
髦	明・豪平
髧	定・覃上
髫	定・蕭平
髬	滂漪脂平
髭	精伊支平
髮	幫威元入
髯	日伊鹽平
髯	日伊鹽去
髲	並漪支去
髳	明・東平
髴	滂威微去
髴	滂威文入
髴	幫威文入
髵	日伊之平
髶	日伊脂去
髶	日惟冬平
髷	谿威冬入
髸	見威冬平
髹	曉依尤平
髺	見區寒入
髻	見・齊去
髼	並・東平
髽	莊蛙麻平
髾	生娃肴平
髾	生娃肴上
髿	生娃麻平
髿	心區歌平
鬀	定・齊去
鬀	透・齊去
鬁	來伊脂去
鬃	從・冬平
鬃	崇娃江平
鬃	精・東平
鬄	心伊清入
鬅	並・登平
鬆	心・冬平
鬆	心・東去
鬆	心威冬平
鬆	清威冬平
鬇	崇娃庚平
鬇	崇娃耕平
鬈	羣逶先平
鬈	谿逶先平
鬉	精・東平
鬊	書惟真去
鬋	精伊先平
鬋	精伊先去
鬋	精伊先上
鬌	澄逶支平
鬌	定區歌上
鬌	端區歌上
鬍	匣・模平
鬎	來・寒入
鬏	精依尤平
鬑	來・添平
鬑	來伊鹽平
鬒	章伊真上
鬕	明娃麻去
鬖	心・談平
鬗	明・寒平
鬗	明威元去
鬘	明娃刪平
鬙	心・登平
鬚	心威魚平
鬛	來伊鹽入
鬜	谿娃刪平
鬜	谿娃山平
鬜	谿娃山入
鬝	谿娃山平
鬝	谿娃山入
鬞	孃娃江平
鬟	匣蛙刪平
鬠	匣區寒入
鬠	見區泰去
鬡	孃娃耕平
鬢	幫伊真去
鬣	來伊鹽入
鬤	日伊陽平
鬤	孃娃庚平
鬥	端・侯去
鬧	孃娃肴去
鬨	匣娃江去
鬨	匣・東去
鬩	曉・青入
鬬	端・侯去
鬭	端・侯去
鬮	見伊幽上
鬮	見依尤平
鬯	徹漪陽去
鬱	影威文入
鬲	見娃耕入
鬲	來・青入
鬳	疑依元去
鬴	並威魚上
鬵	從伊鹽平
鬵	從伊侵平
鬵	邪伊侵平
鬷	精・東平
鬷	精・東上
鬹	見惟支平
鬻	以惟東入
鬼	見威微上
鬽	明漪脂去
鬾	羣漪支平
鬾	羣漪支去
魁	谿區咍平
魂	匣區痕平
魃	並・寒入
魄	滂娃庚入
魄	透・唐入
魅	明漪脂去
魈	心伊宵平
魊	云逶蒸入
魋	定區咍平
魌	谿依之平
